daq=> SELECT run.runnumber, runtype FROM run WHERE run.runnumber >= 54128 and run.runnumber <= 54974 and runtype = 'physics';
 runnumber | runtype
-----------+---------
     54128 | physics
     54138 | physics
     54139 | physics
     54140 | physics
     54141 | physics
     54142 | physics
     54143 | physics
     54144 | physics
     54145 | physics
     54147 | physics
     54148 | physics
     54149 | physics
     54153 | physics
     54155 | physics
     54156 | physics
     54157 | physics
     54160 | physics
     54162 | physics
     54165 | physics
     54166 | physics
     54167 | physics
     54168 | physics
     54169 | physics
     54170 | physics
     54171 | physics
     54172 | physics
     54173 | physics
     54177 | physics
     54178 | physics
     54179 | physics
     54181 | physics
     54182 | physics
     54183 | physics
     54184 | physics
     54185 | physics
     54187 | physics
     54193 | physics
     54199 | physics
     54211 | physics
     54212 | physics
     54213 | physics
     54214 | physics
     54215 | physics
     54216 | physics
     54219 | physics
     54220 | physics
     54222 | physics
     54223 | physics
     54224 | physics
     54225 | physics
     54226 | physics
     54227 | physics
     54228 | physics
     54230 | physics
     54239 | physics
     54240 | physics
     54242 | physics
     54243 | physics
     54244 | physics
     54263 | physics
     54264 | physics
     54265 | physics
     54266 | physics
     54267 | physics
     54268 | physics
     54269 | physics
     54270 | physics
     54275 | physics
     54276 | physics
     54277 | physics
     54278 | physics
     54279 | physics
     54280 | physics
     54281 | physics
     54360 | physics
     54361 | physics
     54362 | physics
     54363 | physics
     54364 | physics
     54371 | physics
     54372 | physics
     54373 | physics
     54374 | physics
     54377 | physics
     54378 | physics
     54379 | physics
     54383 | physics
     54384 | physics
     54385 | physics
     54386 | physics
     54387 | physics
     54388 | physics
     54389 | physics
     54390 | physics
     54391 | physics
     54392 | physics
     54393 | physics
     54403 | physics
     54404 | physics
     54408 | physics
     54412 | physics
     54414 | physics
     54415 | physics
     54421 | physics
     54422 | physics
     54423 | physics
     54424 | physics
     54425 | physics
     54426 | physics
     54428 | physics
     54429 | physics
     54430 | physics
     54431 | physics
     54432 | physics
     54433 | physics
     54434 | physics
     54435 | physics
     54436 | physics
     54437 | physics
     54438 | physics
     54439 | physics
     54440 | physics
     54442 | physics
     54443 | physics
     54444 | physics
     54445 | physics
     54451 | physics
     54463 | physics
     54464 | physics
     54465 | physics
     54466 | physics
     54467 | physics
     54468 | physics
     54469 | physics
     54470 | physics
     54471 | physics
     54479 | physics
     54480 | physics
     54481 | physics
     54482 | physics
     54483 | physics
     54484 | physics
     54485 | physics
     54486 | physics
     54487 | physics
     54488 | physics
     54489 | physics
     54490 | physics
     54491 | physics
     54492 | physics
     54493 | physics
     54494 | physics
     54495 | physics
     54496 | physics
     54497 | physics
     54498 | physics
     54502 | physics
     54503 | physics
     54504 | physics
     54505 | physics
     54506 | physics
     54507 | physics
     54508 | physics
     54509 | physics
     54510 | physics
     54511 | physics
     54512 | physics
     54513 | physics
     54514 | physics
     54515 | physics
     54516 | physics
     54517 | physics
     54518 | physics
     54519 | physics
     54520 | physics
     54527 | physics
     54528 | physics
     54529 | physics
     54530 | physics
     54531 | physics
     54532 | physics
     54533 | physics
     54534 | physics
     54535 | physics
     54542 | physics
     54543 | physics
     54544 | physics
     54545 | physics
     54546 | physics
     54547 | physics
     54548 | physics
     54549 | physics
     54550 | physics
     54552 | physics
     54553 | physics
     54554 | physics
     54555 | physics
     54556 | physics
     54557 | physics
     54558 | physics
     54559 | physics
     54560 | physics
     54561 | physics
     54562 | physics
     54563 | physics
     54564 | physics
     54565 | physics
     54566 | physics
     54567 | physics
     54571 | physics
     54572 | physics
     54575 | physics
     54576 | physics
     54582 | physics
     54583 | physics
     54584 | physics
     54585 | physics
     54586 | physics
     54587 | physics
     54588 | physics
     54589 | physics
     54590 | physics
     54591 | physics
     54592 | physics
     54593 | physics
     54594 | physics
     54595 | physics
     54596 | physics
     54597 | physics
     54598 | physics
     54599 | physics
     54600 | physics
     54601 | physics
     54602 | physics
     54603 | physics
     54604 | physics
     54646 | physics
     54648 | physics
     54650 | physics
     54651 | physics
     54652 | physics
     54653 | physics
     54655 | physics
     54656 | physics
     54658 | physics
     54659 | physics
     54660 | physics
     54661 | physics
     54662 | physics
     54663 | physics
     54664 | physics
     54665 | physics
     54666 | physics
     54667 | physics
     54668 | physics
     54674 | physics
     54676 | physics
     54677 | physics
     54680 | physics
     54682 | physics
     54684 | physics
     54689 | physics
     54693 | physics
     54697 | physics
     54701 | physics
     54703 | physics
     54706 | physics
     54707 | physics
     54720 | physics
     54721 | physics
     54723 | physics
     54724 | physics
     54725 | physics
     54726 | physics
     54727 | physics
     54728 | physics
     54729 | physics
     54733 | physics
     54736 | physics
     54739 | physics
     54741 | physics
     54742 | physics
     54743 | physics
     54744 | physics
     54745 | physics
     54746 | physics
     54747 | physics
     54748 | physics
     54749 | physics
     54754 | physics
     54768 | physics
     54781 | physics
     54794 | physics
     54798 | physics
     54803 | physics
     54804 | physics
     54805 | physics
     54806 | physics
     54816 | physics
     54817 | physics
     54820 | physics
     54821 | physics
     54823 | physics
     54824 | physics
     54825 | physics
     54826 | physics
     54827 | physics
     54828 | physics
     54829 | physics
     54830 | physics
     54831 | physics
     54832 | physics
     54833 | physics
     54834 | physics
     54835 | physics
     54836 | physics
     54837 | physics
     54838 | physics
     54849 | physics
     54850 | physics
     54851 | physics
     54852 | physics
     54853 | physics
     54854 | physics
     54857 | physics
     54858 | physics
     54859 | physics
     54860 | physics
     54861 | physics
     54862 | physics
     54863 | physics
     54864 | physics
     54865 | physics
     54866 | physics
     54867 | physics
     54870 | physics
     54871 | physics
     54872 | physics
     54873 | physics
     54881 | physics
     54882 | physics
     54883 | physics
     54894 | physics
     54895 | physics
     54896 | physics
     54897 | physics
     54898 | physics
     54899 | physics
     54900 | physics
     54905 | physics
     54906 | physics
     54907 | physics
     54908 | physics
     54909 | physics
     54910 | physics
     54911 | physics
     54912 | physics
     54913 | physics
     54914 | physics
     54915 | physics
     54916 | physics
     54917 | physics
     54918 | physics
     54919 | physics
     54920 | physics
     54921 | physics
     54922 | physics
     54923 | physics
     54924 | physics
     54925 | physics
     54929 | physics
     54930 | physics
     54931 | physics
     54932 | physics
     54933 | physics
     54934 | physics
     54935 | physics
     54936 | physics
     54937 | physics
     54938 | physics
     54939 | physics
     54942 | physics
     54943 | physics
     54944 | physics
     54945 | physics
     54948 | physics
     54949 | physics
     54950 | physics
     54951 | physics
     54952 | physics
     54953 | physics
     54955 | physics
     54956 | physics
     54962 | physics
     54963 | physics
     54964 | physics
     54965 | physics
     54966 | physics
     54967 | physics
     54968 | physics
     54969 | physics
     54970 | physics
     54971 | physics
     54972 | physics
     54973 | physics
     54974 | physics
(406 rows)

daq=>
